date,demand
2022/5/20,1986.251
2022/5/21,784.523
2022/5/22,696.973
2022/5/23,4261.105
2022/5/24,4111.942
2022/5/25,5598.899
2022/5/26,2301.805
2022/5/27,1359.017
2022/5/28,0
2022/5/29,0
2022/5/30,0
2022/5/31,0
2022/6/1,105.79
2022/6/2,60.24
2022/6/3,29.828
2022/6/4,0
2022/6/5,0
2022/6/6,48.354
2022/6/7,150.48
2022/6/8,283.662
2022/6/9,85.868
2022/6/10,192.162
2022/6/11,0
2022/6/12,0.61
2022/6/13,215.847
2022/6/14,196.449
2022/6/15,1307.182
2022/6/16,678.087
2022/6/17,350.447
2022/6/18,313.545
2022/6/19,171.881
2022/6/20,185.414
2022/6/21,5462.051
2022/6/22,4769.903
2022/6/23,13507.677
2022/6/24,6400.526
2022/6/25,1398.548
2022/6/26,126.831
2022/6/27,923.458
2022/6/28,2408.645
2022/6/29,767.46
2022/6/30,0
2022/7/1,0
2022/7/2,11.47
2022/7/3,31.084
2022/7/4,42.548
2022/7/5,9.069
2022/7/6,153.505
2022/7/7,1394.174
2022/7/8,1660.842
2022/7/9,512.974
2022/7/10,133.276
2022/7/11,293.733
2022/7/12,153.824
2022/7/13,1186.859
2022/7/14,861.333
2022/7/15,158.967
2022/7/16,130.425
2022/7/17,95.511
2022/7/18,122.631
2022/7/19,465.961
2022/7/20,958.329
2022/7/21,3495.856
2022/7/22,3747.419
2022/7/23,76.819
2022/7/24,4034.487
2022/7/25,3935.189
2022/7/26,388.59
2022/7/27,421.991
2022/7/28,15
2022/7/29,0
2022/7/30,0
2022/7/31,0
2022/8/1,792.968
2022/8/2,968.468
2022/8/3,535.388
2022/8/4,1718.793
2022/8/5,989.212
2022/8/6,161.261
2022/8/7,369.97
2022/8/8,1385.929
2022/8/9,866.279
2022/8/10,1026.387
2022/8/11,268.397
2022/8/12,398.263
2022/8/13,74.722
2022/8/14,5.076
2022/8/15,1321.49
2022/8/16,575.015
2022/8/17,375.214
2022/8/18,76.703
2022/8/19,166.672
2022/8/20,1454.776
2022/8/21,456.626
