date,demand,cap
2022/2/27,0,0
2022/2/28,0,0
2022/3/1,0,0
2022/3/2,0,0
2022/3/3,0,0
2022/3/4,0,0
2022/3/5,0,0
2022/3/6,0,0
2022/3/7,0,0
2022/3/8,0,0
2022/3/9,0,0
2022/3/10,0,0
2022/3/11,15,0
2022/3/12,0,0
2022/3/13,0,0
2022/3/14,15,0
2022/3/15,156.39,0
2022/3/16,136.04,0
2022/3/17,173.24,0
2022/3/18,81.79,0
2022/3/19,75,0
2022/3/20,17.6,0
2022/3/21,82.73,0
2022/3/22,122.76,0
2022/3/23,95.97,0
2022/3/24,169.67,0
2022/3/25,50.58,0
2022/3/26,0,0
2022/3/27,0,0
2022/3/28,0,0
2022/3/29,0,0
2022/3/30,0,0
2022/3/31,0,0
2022/4/1,30,0
2022/4/2,72.49,0
2022/4/3,0,0
2022/4/4,152.2,0
2022/4/5,141.59,0
2022/4/6,0,0
2022/4/7,38.72,0
2022/4/8,245.78,0
2022/4/9,186.44,0
2022/4/10,87.56,0
2022/4/11,45.53,0
2022/4/12,52.01,0
2022/4/13,58.52,0
2022/4/14,60.78,0
2022/4/15,313.54,0
2022/4/16,105.79,0
2022/4/17,11.12,0
2022/4/18,313.59,0
2022/4/19,55.15,0
2022/4/20,89.7,0
2022/4/21,154.22,0
2022/4/22,253.03,0
2022/4/23,1639.65,0
2022/4/24,797.84,0
2022/4/25,1240.23,0
2022/4/26,41.86,0
2022/4/27,0,0
2022/4/28,0,0
2022/4/29,0,0
2022/4/30,0,0
2022/5/1,0,0
2022/5/2,0,0
2022/5/3,102.71,0
2022/5/4,456.95,0
2022/5/5,312.45,0
2022/5/6,9.27,0
2022/5/7,31.62,0
2022/5/8,0,0
2022/5/9,64.95,0
2022/5/10,47.44,0
2022/5/11,30.56,0
2022/5/12,231.43,0
2022/5/13,563.61,0
2022/5/14,2,0
2022/5/15,28.6,0
2022/5/16,213.21,0
2022/5/17,45.55,0
2022/5/18,0,0
2022/5/19,88.15,0
2022/5/20,284.48,0
2022/5/21,597.77,0
2022/5/22,592.4,0
2022/5/23,436.07,0
2022/5/24,1098.91,0
2022/5/25,4061.35,0
2022/5/26,0,0
2022/5/27,0,0
2022/5/28,0,0
2022/5/29,0,0
2022/5/30,0,0
2022/5/31,0,0
2022/6/1,105.79,0
2022/6/2,60.24,0
2022/6/3,29.83,0
2022/6/4,0,0
2022/6/5,0,0
2022/6/6,48.35,0
2022/6/7,97.14,0
2022/6/8,279.65,0
2022/6/9,82.66,0
2022/6/10,192.16,0
2022/6/11,0,0
2022/6/12,0,0
2022/6/13,215.86,0
2022/6/14,78.5,0
2022/6/15,269.42,0
2022/6/16,58.16,0
2022/6/17,112.49,0
2022/6/18,73.81,0
2022/6/19,114.68,0
2022/6/20,1.8,0
2022/6/21,308.45,0
2022/6/22,3385.35,0
2022/6/23,3593.41,0
2022/6/24,1340.38,0
2022/6/25,1261.08,0
2022/6/26,126.83,0
2022/6/27,0,0
2022/6/28,0,0
2022/6/29,0,0
2022/6/30,0,0
2022/7/1,0,0
2022/7/2,11.46,0
2022/7/3,31.09,0
2022/7/4,42.27,0
2022/7/5,7.27,0
2022/7/6,153.52,0
2022/7/7,1320.17,0
2022/7/8,552.33,0
2022/7/9,512.98,0
2022/7/10,86.06,0
2022/7/11,228.57,0
2022/7/12,56.8,0
2022/7/13,138.51,0
2022/7/14,288.63,0
2022/7/15,14.09,0
2022/7/16,130.42,0
2022/7/17,95.51,0
2022/7/18,103.73,0
2022/7/19,455.37,0
2022/7/20,0,0
2022/7/21,105.01,0
2022/7/22,604.47,0
2022/7/23,1.44,0
2022/7/24,0,0
2022/7/25,1.3,0
2022/7/26,0,0
2022/7/27,0,0
2022/7/28,0,0
2022/7/29,0,0
2022/7/30,0,0
2022/7/31,0,0
2022/8/1,786.99,0
2022/8/2,909.16,0
2022/8/3,535.38,0
2022/8/4,1718.77,0
2022/8/5,987.08,0
2022/8/6,161.26,0
2022/8/7,369.97,0
2022/8/8,606.66,0
2022/8/9,558.52,0
2022/8/10,888.73,0
2022/8/11,154.31,0
2022/8/12,220.13,0
2022/8/13,74.73,0
2022/8/14,4.74,0
2022/8/15,154.87,0
2022/8/16,143.14,0
2022/8/17,347.72,0
